OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-09-21T15:03:33.479712,2.00562474,.0052701,55.4784,166.1617,53.9047,306.6381,0,U,24876,999,17726,0,.5E-7,0
GPS BIIR-4  (PRN 20),2000-025A,2021-09-21T22:25:46.010784,2.00565263,.0055053,53.8464,89.9799,173.4522,135.6040,0,U,26360,999,15658,0,-.1E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2021-09-21T13:01:42.696192,2.00553615,.0120787,55.7040,283.7309,38.0427,326.6866,0,U,27663,999,13662,0,-.2E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2021-09-21T18:24:50.133888,2.00567808,.0242706,54.9089,34.2044,297.6626,85.4481,0,U,27704,999,13542,0,-.95E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-09-21T19:37:26.338944,2.00556770,.0069116,53.6567,92.6276,307.6792,51.7549,0,U,28129,999,13010,0,-.6E-7,0
GPS BIIR-11 (PRN 19),2004-009A,2021-09-21T01:18:53.125056,2.00566493,.0089004,56.1434,344.6607,111.9490,60.7404,0,U,28190,999,12824,0,-.94E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2021-09-21T19:00:00.801216,2.00553753,.0205215,55.2416,34.2427,274.3472,342.0843,0,U,28474,999,12374,0,-.95E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-09-21T15:45:32.831136,2.00564941,.0138262,56.2214,342.0571,270.8738,0.0230,0,U,28874,999,11714,0,-.92E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-09-21T09:30:42.810912,2.00570450,.0101347,54.7558,219.9810,15.8234,341.2252,0,U,29486,999,10969,0,-.18E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-09-20T20:24:08.505216,2.00563257,.0080165,55.7035,282.6869,69.9254,290.9753,0,U,29601,999,10870,0,-.16E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-09-20T15:42:14.051520,2.00562446,.0134801,53.2483,151.7256,58.4510,302.9349,0,U,32260,999,10210,0,.6E-7,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-09-21T09:15:21.957120,2.00575396,.0017795,56.3320,342.7953,139.6892,157.7560,0,U,32384,999,10081,0,-.92E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2021-09-21T13:39:07.747488,2.00555955,.0154602,54.5103,218.9706,228.4494,130.1810,0,U,32711,999,9906,0,-.17E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2021-09-21T07:21:42.715296,2.00573406,.0058979,54.8727,96.3827,55.6971,127.9080,0,U,35752,999,8866,0,.5E-7,0
GPS BIIF-1  (PRN 25),2010-022A,2021-09-21T21:01:13.795104,2.00575767,.0096921,54.9802,278.3522,54.6469,302.9977,0,U,36585,999,8290,0,-.19E-6,0
GPS BIIF-2  (PRN 01),2011-036A,2021-09-21T18:20:50.773920,2.00563859,.0109014,56.4727,39.1836,50.2032,308.0434,0,U,37753,999,7458,0,-.87E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2021-09-21T06:01:17.434272,2.00558594,.0114494,53.5613,214.3861,42.6368,318.2104,0,U,38833,999,6474,0,-.22E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2021-09-20T14:47:17.998656,2.00567500,.0093663,55.8607,338.5754,35.2328,325.4381,0,U,39166,999,6117,0,-.87E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2021-09-21T02:44:16.131840,2.00566396,.0054553,53.6621,219.8708,205.6322,154.0599,0,U,39533,999,5498,0,-.22E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2021-09-21T09:24:35.524512,2.00575066,.0023886,56.4393,38.7252,298.7423,61.0121,0,U,39741,999,5384,0,-.88E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2021-09-20T23:36:24.042240,2.00559475,.0019551,54.6385,157.5647,105.4562,254.8282,0,U,40105,999,5137,0,.6E-7,0
GPS BIIF-8  (PRN 03),2014-068A,2021-09-19T08:32:48.674688,2.00552467,.0036837,55.6173,98.6609,54.1733,306.2470,0,U,40294,999,5047,0,.2E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2021-09-20T23:45:08.417664,2.00568849,.0060719,53.8857,275.8533,14.7042,345.4962,0,U,40534,999,4712,0,-.18E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2021-09-21T15:33:26.937216,2.00566063,.0064904,55.3655,337.4906,1.0571,359.0156,0,U,40730,999,4530,0,-.88E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2021-09-20T04:52:14.069568,2.00563345,.0070744,55.6096,98.4648,213.3564,146.2705,0,U,41019,999,4311,0,.17E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2021-09-21T07:00:13.489920,2.00558139,.005254,54.8632,158.1564,225.5828,134.0549,0,U,41328,999,4114,0,.8E-7,0
GPS BIII-1  (PRN 04),2018-109A,2021-09-21T20:49:56.139168,2.00561042,.0014381,55.0445,160.4957,193.4324,115.0677,0,U,43873,999,2038,0,.1E-6,0
GPS BIII-2  (PRN 18),2019-056A,2021-09-21T16:23:54.542688,2.00567116,.0019297,55.5413,39.7588,176.0932,259.9888,0,U,44506,999,1538,0,-.88E-6,0
GPS BIII-3  (PRN 23),2020-041A,2021-09-21T16:23:28.390272,2.00563842,.0016191,55.3256,97.0253,161.5732,216.6759,0,U,45854,999,935,0,.5E-7,0
GPS BIII-4  (PRN 14),2020-078A,2021-09-21T10:54:29.513664,2.00566826,.0011196,54.7546,281.0025,190.4542,351.9807,0,U,46826,999,681,0,-.21E-6,0
